Fecha;C¢digo;C. de Inf.;C de L. C.;C. Cuter;C. Dewey;T°tulo;Autores;Contenido
1985;L1.1.;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (AMORPHOUS POLYMERS);"MARK, HERMAN F.; BIKALES NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";ABRASION AND WEAR , ABRASIVES , ACETAL RESINS , ACETYLENE-TERMINATED PREPOLYMERS , ACETYLENIC POLYMERS , ACOUSTIC PROPERTIES , ACROLEIN POLYMERS , ACRYLAMIDE POLYMERS , ACRYLIC AND METHACRYLIC ACID POLYMERS , ACRYLIC AND METHACRYLIC ESTER POLYMERS , ACRYLIC ELASTOMERS , ACRYLIC FIBERS , ACRYLONITRILE-BUTADIENE-STYRENE POLYMERS , ACRYLONITRILE POLYMERS , ADDITION POLYMERIZATION , ADDITIVES , ADHESION AND BONDING , ADHESIVE COMPOSITIONS , ADSORPTION , AGING,PHYSICAL ,  AGRICULTURAL APPLICATIONS , ALDEHYDE POLYMERS , ALKYD RESINS ,  ALKYLENEIMINE POLYMERS , AMINIMIDE POLYMERS , AMINO RESINS ,  AMORPHOUS POLYMERS
1985;L1.2;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (ANIONIC POLYMERIZATION TO CATIONIC POLYMERIZATION);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";ANIONIC POLYMERIZATION , ANNEALING , ANTIBODIES AND ANTIGENS,POLYMER-BOUND , ANTIFOAMING AGENTS , ANTIOXIDANTS , ANTIOZONANTS , ANTISTATIC AGENTS , AUTOMOTIVE APPLICATIONS , AZO COMPOUNDS , AZO POLYMERS , BARRIER POLYMERS , BELTING , BIOCIDE, BIODEGRADABLE POLYMERS , BIOLOGICAL ACTIVITY , BIOMATERIALS , BIOPOLYMERS , BLEACHING , BLOCK COPOLYMERS , BLOWING AGENTS , BLOW MOLDING , BRANCHED POLYMERS , BULK POLYMERIZATION , BUTADIENE DERIVATIVES,POLYMERIC , BUTADIENE POLYMERS , BUTENE POLYMERS , CALENDERING , CARBON , CARBON FIBERS , CASEIN , CASTING , CATALYSTS,POLYMER-SUPPORTED , CATIONIC POLYMERIZATION
1985;L1.3;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (CELLULAR MATERIALS TO COMPOSITES);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";CELLULAR MATERIALS , CELLULOSE,BIOSYNTHESIS , CELLULOSE,GRAFT COPOLYMERS , CELLULOSE,MICROCRYSTALLINE , CELLULOSE,STRUCTURE AND PROPERTIES , CELLULOSE DERIVATIVES , CELLULOSE ESTERS,INORGANIC , CELLULOSE ESTERS,ORGANIC , CELLULOSE ETHERS ,CEMENT ADDITIVES , CHAIN-REACTION POLYMERIZATION , CHAIN TRANSFER , CHARACTERIZATION OF POLYMERS , CHARGE-TRANSFER COMPLEXES , CHELATE-FORMING POLYMERS , CHEMICAL ANALYSIS , CHEMICALLY RESISTANT POLYMERS , CHITIN , CHLOROPRENE POLYMERS , CHLOROTRIFLUOROETHYLENE POLYMERS , CHROMATOGRAPHY ,CHROMATOGRAPHY,AFFINITY , CLASSIFICATION OF POLYMERIZATION REACTIONS , COATING METHODS , COATINGS ,COATINGS,ELECTRODEPOSITION , COLD FORMING , COLLAGEN , COLLOIDS, COLORANTS , COMPATIBILITY , COMPOSITES
1985;L1.4;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (COMPOSITES, FABRICATION TO DIE DESIGN);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";COMPOSITES,FABRICATION , COMPOSITES TESTING , COMPOSITION BOARD, COMPOUNDING , COMPRESSION AND TRANSFER MOLDING ,COMPUTER-ASSISTED DESIGN , COMPUTERS , CONDENSATION POLYMERIZATION , CONFORMATION AND CONFIGURATION , CONSTRUCTION AND BUILDING , APPLICATIONS , CONTACT LENSES , COORDINATE POLYMERIZATION , COORDINATE POLYMERS , COPOLYMERIZATION ,COPOLYMERS,ALTERNATING , COTTON , COUPLING AGENTS , CRAZING ,CRITICAL PHENOMENA , CROSS-LINKING , CROSS-LINKING REVERSIBLE ,CROSS-LINKING WITH RADIATION , CRYOGENIC PROPERTIES ,CRYSTALLINITY DETERMINATION, CURING , CYCLIC IMINO ETHERS,POLYMERIZATION , CYCLOPENTADIENE POLYMERS ,CYCLOPOLYMERIZATION , DECORATING , DEFECTS , DEGRADATION ,DEGREE OF POLYMERIZATION , DEGREE OF SUBSTITUTION , DENTALAPPLICATIONS , DEPOLYMERIZATION , DEVOLATILIZATION , DEXTRAN ,DIACETYLENE POLYMERS , DIALLYL AND RELATED POLYMERS , DIE DESIGN
1985;L1.5;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (DIELECTRIC HEATING TO EMBEDDING);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";DIELECTRIC HEATING , DIELECTRIC RELAXATION , DIFFUSION ,DILATOMETRY , DIMENSIONAL STABILITY,FIBERS , DISPOSAL AND REUSE OF PLASTICS , DRAG REDUCTION , DRUG APPLICATIONS , DRYING ,DRYING OILS , DYEING , DYES,MACROMOLECULAR , DYNAMIC MECHANICAL PROPERTIES , ECONOMIC EVALUATION , EDUCATION , ELASTICITY, ELASTOMERS,THERMOPLASTIC , ELECTRICAL APPLICATIONS ,ELECTRICALLY CONDUCTIVE POLYMERS , ELECTRICAL PROPERTIES ,ELECTROCHEMICAL INITIATION , ELECTRODES,POLYMER-MODIFIED ,ELECTROMAGNETIC INTERFERENCE , ELECTRON DIFFRACTION ,ELECTRONICS APPLICATIONS , ELECTRON MICROSCOPY , ELECTRON-SPIN RESONANCE , ELECTRON-TRANSFER POLYMERS , ELECTROOPTICAL APPLICATIONS , ELECTROPHORESIS , EMBEDDING
1985;L1.6;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (EMULSION POLYMERIZATION TO FIBERS, MANUFACTURE);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";EMULSION POLYMERIZATION , ENERGY APPLICATIONS , ENERGY CONSERVATION , ENERGY TRANSFER , ENGINEERING PLASTICS , ENZYMES, ENZYMES,IMMOBILIZED , EPITAXIAL PROCESSES , 1,2-EPOXIDEPOLYMERS , EPOXY RESINS , ETHYLENE POLYMERS , ETHYLENE-PROPYLENE ELASTOMERS , ETHYLENESULFONIC,ACID POLYMERS , EXTRUSION, FABRICS,COATED , FIBERS , FIBERS,ELASTOMERIC ,FIBERS,ENGINEERING , FIBERS,MANUFACTURE
1985;L1.7;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (FIBERS, OPTICAL TO HYDROGENATION);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";FIBERS,OPTICAL , FIBERS,VEGETABLE , FILAMENT WINDING , FILLERS ,FILMS , FILMS,MANUFACTURE , FILMS,MULTILAYER , FINE ARTS ,FINISHING , FLAMMABILITY , FLOCCULATION , FLOORING MATERIALS ,FLOOR POLISHES , FLUORINE-CONTAINING POLYMERS , FLUOROCARBON ELASTOMERS , FOOD APPLICATIONS , FORENSIC ASPECTS , FOUNDRY RESINS , FRACTIONATION , FRACTURE AND FATIGUE , FURAN POLYMERS ,FURNITURE , GAS-PHASE POLYMERIZATION , GELATIN , GEL EFFECT ,GELS , GLASS TRANSITION , GLYCOGEN , GRAFT COPOLYMERS,GROUP-TRANSFER POLYMERIZATION , GUMS,INDUSTRIAL , HARDNESS ,HEAD-TO-HEAD POLYMERS , HEAT-RESISTANT POLYMERS , HEAT TRANSFER, HELIX-COIL TRANSITIONS , HIGH MODULUS POLYMERS , HISTORY OF POLYMER SCIENCE , HOMOPOLYMERIZATION , HONEYCOMBS , HYDROCARBON RESINS , HYDROGELS , HYDROGENATION
1985;L1.8;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (IDENTIFICATION TO LIGNIN);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";IDENTIFICATION , IMPACT RESISTANCE , INFRARED-ABSORPTION SPECTROSCOPY , INITIATION , INJECTION MOLDING , INORGANIC POLYMERS , INSERTION POLYMERIZATION , INTERFACIAL POLYMERIZATION, INTERFACIAL PROPERTIES , INTERPENETRATING  POLYMER NETWORKS ,ION-EXCHANGE POLYMERS , IONIC POLYMERS , ISOBUTYLENE POLYMERS ,ISOCYANATE-DERIVED POLYMERS , ISOMERIZATION POLYMERIZATION ,ISOPRENE POLYMERS , KERATIN , KETONE POLYMERS , KINETICS OF POLYMERIZATION , LAMINATES , LATICES , LEATHERLIKE MATERIALS ,LIGHT MICROSCOPY , LIGHT SCATTERING , LIGNIN
1985;L1.9;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (LIQUID CRYSTALLINE POLYMERS TO MINING APPLICATIONS);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";LIQUID CRYSTALLINE POLYMERS , LITERATURE OF POLYMERS , LITHOGRAPHIC RESISTS , LIVING POLYMERS , MACHINING , MACROCYCLIC POLYMERS , MACROMERS , MACROMOLECULAR DYNAMICS , MALEIC AND FUMARIC POLYMERS , MARINE APPLICATIONS , MARKET EVALUATION , MASS SPECTROMETRY , MATERIALS,SELECTION , MECHANICAL PROPERTIES, MECHANOCHEMICAL REACTIONS , MEDICAL APPLICATIONS , MEMBRANES , METALLIZING , METAL-VAPOR SYNTHESIS , METATHESIS POLYMERIZATION, METHACRYLONITRILE POLYMERS , 4-METHYL-1-PENTENE POLYMERS ,MICROEMULSION POLYMERIZATION , MICROENCAPSULATION ,MICROMECHANICAL MEASUREMENTS , MICROPHASE STRUCTURE ,MICROSPHERES , MICROSTRUCTURE , MINING APPLICATIONS
1985;L1.10;INDESCA;TP1110;M34;620.192;ENCYCLOPEDIA OF POLYMER SCIENCE AND ENGINEERING (MOLECULAR WEIGHT DETERMINATION TO PENTADIENE POLYMERS);"MARK, HERMAN F.; BIKALES, NORBERT M.; OVERBERGER, CHARLES G.; MENGES, GEORG; KROSCHWITZ, JACQUELINE I.";MOLECULAR WEIGHT DETERMINATION , MONODISPERSE POLYMERS , MONOMER, MORPHOLOGY , NETWORKS , NEUTRON SCATTERING , NITROSO POLYMERS, NOMENCLATURE , NONWOVEN FABRICS , NUCLEAR MAGNETIC RESONANCE , OIL-FIELD APPLICATIONS , OLEFIN-CARBON MONOXIDE COPOLYMERS ,OLEFIN FIBERS , OLEFIN POLYMERS , OLEFIN-SULFUR DIOXIDE COPOLYMERS , OLIGOMERS , OPTICALLY ACTIVE POLYMERS , OPTICAL PROPERTIES , ORGANOMETALLIC POLYMERS , ORIENTATION , ORIENTATION PROCESSES , OSMOMETRY , OXETANE POLYMERS , OXIDATIVE POLYMERIZATION , PACKAGING MATERIALS , PAPER , PAPER ADDITIVES AND RESINS , PATENT INFORMATION , PELLETIZING , PENTADIENE POLYMERS
