NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
;Polinter;;;;;;;INFORME TECNICO;2015;;gbermudez\Desktop\a/Aire Sintetico. A-27267-A.pdf;
AATCC-0001;;;;"COPYRIGHT American Association of Textile Chemists & Colorists
Licensed by Information Handling Services";AATCC;;AATCC 23-99 Colorfastness to Burnt Gas Fumes;NORMA;1999;;INFORMES\NORMAS\AATCC\AATCC 23-99.PDF;INDESCA
AATCC-0002;;;;"Copyright The American Association of Textile Chemists and Colorists
Provided by IHS under license with AATCC";AATCC;;AAtCC 164-2001 Colorfastness to Oxides of Nitrogen in the Atmosphere Under High Humidities;NORMA;2001;;INFORMES\NORMAS\AATCC\AAtCC 164-2001.PDF;INDESCA
ASME-0001;;;;"Copyright ASME International
Provided by IHS under license with ASME";ASME;;ASME Y14.41-2003 Digital Product Definition Data Practice;NORMA;2003;;INFORMES\NORMAS\ASME\ASME Y14-41-2003.PDF;INDESCA
CNF00113;CNF;CNI-I-0513-07-06;Propiedades mec†nicas, pel°culas, temperatura sub ambiente, mezclas, PELBD/PEBD, EVA, mPELBD, Kraton, PEAD 7000F, PEBD FB3003, PELBD 11PG1.;SANCHEZ, DANIEL;SS 13326;;Ensayos de pel°culas a temperatura sub ambiente;INFORME TECNICO;2013;Explicar el comportamiento no esperado de pel°culas ensayadas a temperatura sub-ambiente.;\INFORMES\CNI\2013\IN13326.PDF;
CNF00114;CNF;CNF-I-0114-05-04;automatizaci¢n, dedicaci¢n, proyectada, aplicaciones, Excel, VBA;Agust°n Torres;SS: 14118;;Automatizaci¢n proyecci¢n de dedicaci¢n;INFORME TECNICO;2014;"Desarrollar un macro en VBA para automatizar el proceso de llenado de la proyecci¢n de
dedicaci¢n";\informes\CNI\2014\IN14118.PDF;
CNF00115;CNF;CNF-M1-0315-04-02;"Corrosi¢n, potenciostato, 
adiestramiento.";"Adel Nader";"SS:15235";;"AIT: Adiestramiento en la 
aplicaci¢n, an†lisis y 
ejecuci¢n de las tÇcnicas 
electroqu°micas aplicadas a la 
corrosi¢n.";INFORME TECNICO;2015;Impartir a GÇnesis Marcano y Gabriela S†nchez el adiestramiento en la aplicaci¢n, an†lisis y ejecuci¢n de las tÇcnicas electroqu°micas aplicadas a la corrosi¢n.;informes\CNI\2015/IN15235.pdf;
CNF00213;CNF;CNF-I-0313-01-02;capacitaci¢n, impacto, creep, modelaje, flexibilidad, tuber°a, caesar, nastran;BOHORQUEZ, JOEL;SS 13372;;Capacitaci¢n a personal de Aplicaciones en competencias de Joel Boh¢rquez;INFORME TECNICO;2013;Transferir, de Joel Boh¢rquez a personal seleccionado del Dpto. de Aplicaciones, 3 competencias espec°ficas (modelaje de impacto, uso del equipo de medici¢n de Creep, uso del programa Caesar II).;\INFORMES\CNI\2013\IN13372.PDF;
CNF00214;CNF;CNF-I-0214-11-02;SHA, incidentes, accidentes, ACR, prevenci¢n, Transformaci¢n, Aplicaciones;Agustin Torres;SS: 14109;;ACR- Incidentes en ST 2013;INFORME TECNICO;2014;Analizar la situaci¢n de seguridad en la secci¢n de Transformaci¢n de Aplicaciones mediante un An†lisis de Causa-Ra°z (ACR) y proponer un plan de acci¢n basado en este an†lisis;\informes\CNI\2014\IN14109.PDF;
CNF00313;CNF;CNF-I-0513-03-01;auditor°a, recertificaci¢n, ISO, 9001, gu°a, responsable, calidad, sistema, gesti¢n;TORRES, AGUSTIN;SS: 13481;;Auditor°a externa de recertificaci¢n;INFORME TECNICO;2013;Acompa§ar al auditor externo asignado por Fondonorma para realizar la auditor°a de recertificaci¢n ISO 9001:2008 de noviembre 2013 y atender en cada unidad organizativa a sus preguntas en el marco de esta auditor°a.;\INFORMES\CNF\2013\IN13481.PDF;
CNF00314;CNF;CNF-I-0114-05-08;"mÇtodo; stage; gate; 
planificaci¢n, proyecto, 
incertidumbre, inversi¢n, 
valoraci¢n";AGUSTIN TORRES;SS: 14214;;"Gesti¢n de Proyectos v°a 
Stage-Gate";INFORME TECNICO;2014;Preparar y dictar un curso que introduzca a los lectores y asistentes al mÇtodo Stage-Gate de gesti¢n de la incertidumbre de los proyectos.;\informes\CNI\2014\IN14214.PDF;
CNF00413;CNF;CNF-I-0513-03-04;MRI, Estabilidad, Homogeneidad, FB3003.;MariajosÇ Pineda;SS: 13441;;Homogeneidad y l°mites de control PEBD FB3003;INFORME TECNICO;2013;"Cumplir con los requisitos de verificaci¢n de equipos y mÇtodos en el Dpto. de Aplicaciones,
mediante la creaci¢n de un material de referencia interno (MRI) a partir de un PEBD
comercial de Polinter seg£n los est†ndares de la ISO Guide 35 y la ISO 5725.";\informes\CNI\2013\IN13441.PDF;
CNF00414;CNF;CNF-I-0114-05-05;"SPI, CONTABILIDAD, CUENTAS 
CONTABLES, REGLAS CONTABLES, 
INTERFAZ";IRONU BONG;SS: 14198;;"Interfaz de n¢mina a 
Contabilidad";INFORME TECNICO;2014;Realizar  an†lisis  de  todas  las  partidas  contables  que  componen  la  n¢mina  de  la  empresa para  ser  codificadas  dentro  del  sistema  de  n¢mina  (SPI)  y  tengan  una  relaci¢n  electr¢nica directa en el cierre de cada mes para lograr contabilizar el gasto de cada una de las mismas.;\informes\CNI\2014\IN14198.PDF;
CNF00513;CNF;CNF-I-1013-01-02;MR, Poliestireno, Homogeneidad, Estabilidad, L°mites de control;Luisana Suarez;SS: 13135;;Apoyo en asegu-ramiento de la ca-lidad;INFORME TECNICO;2013;"Contribuir al establecimiento de los esquemas necesarios, para la ejecuci¢n de los procedimientos
de verificaci¢n en el Laboratorio de ESTIZULIA, de conformidad con los requisitos
tÇcnicos de la norma ISO 9001:2008.";\informes\CNI\2013\IN13135.PDF;
